ID	Type96	Type06
13	Unclassified (Cloud, Shadow, etc.)	Palustrine Forested Wetland
14	Unclassified (Cloud, Shadow, etc.)	Palustrine Scrub/Shrub Wetland
15	Unclassified (Cloud, Shadow, etc.)	Palustrine Emergent Wetland
16	Unclassified (Cloud, Shadow, etc.)	Estuarine Forested Wetland
17	Unclassified (Cloud, Shadow, etc.)	Estuarine Scrub/Shrub Wetland
18	Unclassified (Cloud, Shadow, etc.)	Estuarine Emergent Wetland
38	High Intensity Developed	Palustrine Forested Wetland
39	High Intensity Developed	Palustrine Scrub/Shrub Wetland
40	High Intensity Developed	Palustrine Emergent Wetland
41	High Intensity Developed	Estuarine Forested Wetland
42	High Intensity Developed	Estuarine Scrub/Shrub Wetland
43	High Intensity Developed	Estuarine Emergent Wetland
63	Medium Intensity Developed	Palustrine Forested Wetland
64	Medium Intensity Developed	Palustrine Scrub/Shrub Wetland
65	Medium Intensity Developed	Palustrine Emergent Wetland
66	Medium Intensity Developed	Estuarine Forested Wetland
67	Medium Intensity Developed	Estuarine Scrub/Shrub Wetland
68	Medium Intensity Developed	Estuarine Emergent Wetland
88	Low Intensity Developed	Palustrine Forested Wetland
89	Low Intensity Developed	Palustrine Scrub/Shrub Wetland
90	Low Intensity Developed	Palustrine Emergent Wetland
91	Low Intensity Developed	Estuarine Forested Wetland
92	Low Intensity Developed	Estuarine Scrub/Shrub Wetland
93	Low Intensity Developed	Estuarine Emergent Wetland
113	Open Space Developed	Palustrine Forested Wetland
114	Open Space Developed	Palustrine Scrub/Shrub Wetland
115	Open Space Developed	Palustrine Emergent Wetland
116	Open Space Developed	Estuarine Forested Wetland
117	Open Space Developed	Estuarine Scrub/Shrub Wetland
118	Open Space Developed	Estuarine Emergent Wetland
138	Cultivated Land	Palustrine Forested Wetland
139	Cultivated Land	Palustrine Scrub/Shrub Wetland
140	Cultivated Land	Palustrine Emergent Wetland
141	Cultivated Land	Estuarine Forested Wetland
142	Cultivated Land	Estuarine Scrub/Shrub Wetland
143	Cultivated Land	Estuarine Emergent Wetland
163	Pasture/Hay	Palustrine Forested Wetland
164	Pasture/Hay	Palustrine Scrub/Shrub Wetland
165	Pasture/Hay	Palustrine Emergent Wetland
166	Pasture/Hay	Estuarine Forested Wetland
167	Pasture/Hay	Estuarine Scrub/Shrub Wetland
168	Pasture/Hay	Estuarine Emergent Wetland
188	Grassland	Palustrine Forested Wetland
189	Grassland	Palustrine Scrub/Shrub Wetland
190	Grassland	Palustrine Emergent Wetland
191	Grassland	Estuarine Forested Wetland
192	Grassland	Estuarine Scrub/Shrub Wetland
193	Grassland	Estuarine Emergent Wetland
213	Deciduous Forest	Palustrine Forested Wetland
214	Deciduous Forest	Palustrine Scrub/Shrub Wetland
215	Deciduous Forest	Palustrine Emergent Wetland
215	Deciduous Forest	Estuarine Forested Wetland
217	Deciduous Forest	Estuarine Scrub/Shrub Wetland
218	Deciduous Forest	Estuarine Emergent Wetland
238	Evergreen Forest	Palustrine Forested Wetland
239	Evergreen Forest	Palustrine Scrub/Shrub Wetland
240	Evergreen Forest	Palustrine Emergent Wetland
241	Evergreen Forest	Estuarine Forested Wetland
242	Evergreen Forest	Estuarine Scrub/Shrub Wetland
243	Evergreen Forest	Estuarine Emergent Wetland
263	Mixed Forest	Palustrine Forested Wetland
264	Mixed Forest	Palustrine Scrub/Shrub Wetland
265	Mixed Forest	Palustrine Emergent Wetland
266	Mixed Forest	Estuarine Forested Wetland
267	Mixed Forest	Estuarine Scrub/Shrub Wetland
268	Mixed Forest	Estuarine Emergent Wetland
288	Scrub/Shrub	Palustrine Forested Wetland
289	Scrub/Shrub	Palustrine Scrub/Shrub Wetland
290	Scrub/Shrub	Palustrine Emergent Wetland
291	Scrub/Shrub	Estuarine Forested Wetland
292	Scrub/Shrub	Estuarine Scrub/Shrub Wetland
293	Scrub/Shrub	Estuarine Emergent Wetland
301	Palustrine Forested Wetland	Unclassified (Cloud, Shadow, etc)
