param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[1]	0.63	1.85	-2.94	0.59	4.45	1
logWET.p[2]	0.64	1.86	-2.94	0.6	4.46	1
logWET.p[3]	0.62	1.84	-2.95	0.59	4.38	1
logWET.p[4]	0.51	1.85	-3.08	0.48	4.29	1
logWET.p[5]	0.79	1.89	-2.93	0.78	4.59	1
logWET.p[6]	0.62	1.85	-2.96	0.58	4.41	1
logWET.p[7]	0.65	1.85	-2.91	0.62	4.43	1
logWET.p[8]	0.65	1.85	-2.93	0.62	4.46	1
logWET.p[9]	0.64	1.86	-2.94	0.61	4.47	1
logWET.p[10]	0.65	1.85	-2.93	0.61	4.47	1
logWET.p[11]	0.64	1.85	-2.96	0.62	4.43	1
logWET.p[12]	0.67	1.85	-2.9	0.64	4.49	1
logWET.p[13]	0.67	1.86	-2.91	0.64	4.48	1
logWET.p[14]	0.67	1.86	-2.92	0.63	4.52	1
logWET.p[15]	0.67	1.86	-2.9	0.64	4.49	1
logWET.p[16]	1.32	1.86	-2.25	1.27	5.18	1
logWET.p[17]	1.25	1.86	-2.32	1.19	5.09	1
logWET.p[18]	1.23	1.85	-2.31	1.18	5.08	1
logWET.p[19]	1.48	1.85	-2.11	1.46	5.23	1
logWET.p[20]	1.49	1.85	-2.11	1.46	5.23	1
logWET.p[21]	1.53	1.84	-2.03	1.5	5.28	1
logWET.p[22]	1.53	1.85	-2.07	1.5	5.32	1
logWET.p[23]	1.51	1.84	-2.08	1.49	5.23	1
logWET.p[24]	1.53	1.85	-2.08	1.5	5.3	1
logWET.p[25]	0.96	1.85	-2.64	0.93	4.72	1
logWET.p[26]	0.97	1.85	-2.65	0.95	4.73	1
logWET.p[27]	1.53	1.85	-2.05	1.51	5.32	1
logWET.p[28]	0.97	1.84	-2.65	0.94	4.7	1
logWET.p[29]	0.95	1.85	-2.64	0.92	4.7	1
logWET.p[30]	0.98	1.84	-2.64	0.95	4.71	1
logWET.p[31]	0.96	1.85	-2.67	0.93	4.68	1
logWET.p[32]	1.54	1.84	-2.03	1.51	5.31	1
logWET.p[33]	0.96	1.85	-2.64	0.94	4.77	1
logWET.p[34]	0.96	1.84	-2.62	0.94	4.7	1
logWET.p[35]	0.97	1.85	-2.62	0.95	4.71	1
logWET.p[36]	1.49	1.85	-2.08	1.46	5.27	1
logWET.p[37]	0.95	1.86	-2.67	0.92	4.74	1
logWET.p[38]	0.97	1.85	-2.65	0.96	4.74	1
logWET.p[39]	0.89	1.85	-2.76	0.88	4.62	1
logWET.p[40]	0.92	1.85	-2.68	0.9	4.67	1
logWET.p[41]	0.92	1.84	-2.7	0.9	4.66	1
logWET.p[42]	0.92	1.84	-2.73	0.91	4.64	1
logWET.p[43]	0.92	1.84	-2.69	0.91	4.66	1
logWET.p[44]	1.49	1.85	-2.09	1.46	5.25	1
logWET.p[45]	0.93	1.85	-2.7	0.9	4.64	1
logWET.p[46]	0.92	1.84	-2.7	0.91	4.63	1
logWET.p[47]	0.93	1.85	-2.71	0.91	4.67	1
logWET.p[48]	1.44	1.91	-2.25	1.4	5.36	1
logWET.p[49]	1.43	1.91	-2.27	1.4	5.34	1
logWET.p[50]	0.41	1.84	-3.29	0.43	4.05	1
logWET.p[51]	0.4	1.83	-3.27	0.42	4.03	1
logWET.p[52]	0.37	1.84	-3.32	0.38	3.97	1
logWET.p[53]	0.75	1.83	-2.9	0.75	4.38	1
logWET.p[54]	0.62	1.84	-3.01	0.61	4.3	1
logWET.p[55]	0.83	1.83	-2.81	0.82	4.47	1
logWET.p[56]	0.84	1.83	-2.76	0.83	4.48	1
logWET.p[57]	0.86	1.84	-2.77	0.85	4.55	1
logWET.p[58]	0.89	1.83	-2.71	0.87	4.59	1
logWET.p[59]	0.86	1.84	-2.77	0.85	4.55	1
logWET.p[60]	0.89	1.84	-2.73	0.88	4.6	1
logWET.p[61]	0.92	1.83	-2.66	0.9	4.63	1
logWET.p[62]	0.9	1.84	-2.72	0.88	4.61	1
logWET.p[63]	1.09	1.84	-2.52	1.05	4.89	1
logWET.p[64]	1.08	1.85	-2.52	1.05	4.87	1
logWET.p[65]	1.09	1.85	-2.49	1.06	4.83	1
logWET.p[66]	1.09	1.85	-2.5	1.06	4.86	1
logWET.p[67]	1.09	1.84	-2.47	1.05	4.86	1
logWET.p[68]	1.03	1.84	-2.56	1	4.77	1
logWET.p[69]	1	1.83	-2.54	0.98	4.72	1
logWET.p[70]	1	1.84	-2.57	0.98	4.76	1
logWET.p[71]	0.99	1.84	-2.6	0.98	4.73	1
logWET.p[72]	0.94	1.84	-2.66	0.92	4.64	1
logWET.p[73]	0.94	1.84	-2.67	0.92	4.64	1
logWET.p[74]	1.05	1.98	-2.78	1	5.12	1
logWET.p[75]	0.91	2	-2.92	0.86	4.97	1
logWET.p[76]	0.81	1.98	-3.04	0.77	4.88	1
logWET.p[77]	0.9	1.98	-2.9	0.84	4.96	1
logWET.p[78]	0.82	1.97	-3.02	0.79	4.85	1
logWET.p[79]	0.81	1.99	-3.03	0.77	4.9	1
logWET.p[80]	0.83	1.98	-3	0.8	4.88	1
logWET.p[81]	-0.21	2.07	-4.28	-0.22	3.97	1
