HUC4	NAME	avgdis
1203	Trinity	1443.63022932131
1204	Galveston Bay-San Jacinto	299.086756979355
1207	Lower Brazos	981.486540283208
1210	Central Texas Coastal	333.900166791207
1211	Nueces-Southwestern Texas Coastal	256.992869927121
0314	Choctawhatchee-Escambia	993.542874039417
0309	Southern Florida	101.621640906779
0310	Peace-Tampa Bay	153.7315540432
0313	Apalachicola	1707.28879546533
1209	Lower Colorado-San Bernard Coastal	711.369529155516
0316	Mobile-Tombigbee	443.864795966995
0809	Lower Mississippi	1550.34909962419
0318	Pearl	1113.88202637675
0317	Pascagoula	912.649202956478
0808	Louisiana Coastal	18641.8310179478
0312	Ochlockonee	471.334496522677
1309	Lower Rio Grande	NA
0311	Suwannee	765.855232999047
