PROJ_ID	PROJ_NAME	PROGRAM	PPL	SPONSOR	RECODE	PROJ_TYPE	STATUS	BASIN	YEAR	ACRES	URL	GOOGLE
TE-0025	"East Timbalier Island Sediment Restoration, Phase 1"	CWPPRA	3	NMFS	PL	BH	Constructed	TE	1993	1234.620708	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0025	"https://www.google.com/search?q=East Timbalier Island Sediment Restoration, Phase 1 site%3Alacoast.gov"
TE-0030	"East Timbalier Island Sediment Restoration, Phase 2"	CWPPRA	4	NMFS	MC/BW	BH	Constructed	TE	1994	613.8007067	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0030	"https://www.google.com/search?q=East Timbalier Island Sediment Restoration, Phase 2 site%3Alacoast.gov"
TE-0029	Raccoon Island Breakwaters Demonstration	CWPPRA	5	NRCS	BW	BH	Constructed	TE	1995	76.71991069	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0029	https://www.google.com/search?q=Raccoon Island Breakwaters Demonstration site%3Alacoast.gov
TE-0020	Isles Dernieres Restoration East Island	CWPPRA	1	EPA	MC/PL	BH	Constructed	TE	1991	1507.232909	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0020	https://www.google.com/search?q=Isles Dernieres Restoration East Island site%3Alacoast.gov
TE-0024	Isles Dernieres Restoration Trinity Island	CWPPRA	2	EPA	MC/PL	BH	Constructed	TE	1992	719.5883819	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0024	https://www.google.com/search?q=Isles Dernieres Restoration Trinity Island site%3Alacoast.gov
TE-0037	New Cut Dune and Marsh Restoration	CWPPRA	9	EPA	MC/BW	BH	Constructed	TE	1999	377.3863383	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0037	https://www.google.com/search?q=New Cut Dune and Marsh Restoration site%3Alacoast.gov
TV-0014	Marsh Island Hydrologic Restoration	CWPPRA	6	USACE	BW	HR	Constructed	TV	1996	7310.363551	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0014	https://www.google.com/search?q=Marsh Island Hydrologic Restoration site%3Alacoast.gov
TE-0026	"Lake Chapeau Sediment Input and Hydrologic Restoration, Point Au Fer Island"	CWPPRA	3	NMFS	HR	HR	Constructed	TE	1993	13810.10458	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0026	"https://www.google.com/search?q=Lake Chapeau Sediment Input and Hydrologic Restoration, Point Au Fer Island site%3Alacoast.gov"
TV-0006	Marsh Island Control Structures	STATE	9999	CPRA		HR	Constructed	TV	1993	2909.022274	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0006	https://www.google.com/search?q=Marsh Island Control Structures site%3Alacoast.gov
TV-0073	Marsh Island Repairs	FEMA	9999	FEMA	BW	HR	Constructed	TV	2005	4.70754954	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0073	https://www.google.com/search?q=Marsh Island Repairs site%3Alacoast.gov
TV-0021	East Marsh Island Marsh Creation	CWPPRA	14	EPA		MC	Constructed	TV	2004	1159.338379	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0021	https://www.google.com/search?q=East Marsh Island Marsh Creation site%3Alacoast.gov
BA-0155	Fifi Island Restoration	CIAP	9999	USFWS	BW	SP	Constructed	BA	2004	135.878214	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0155	https://www.google.com/search?q=Fifi Island Restoration site%3Alacoast.gov
BA-0187	Grand Isle Bay Side Breakwaters	STATE	9999	CPRA	BW	SP	Constructed	BA	1995	64.90966038	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0187	https://www.google.com/search?q=Grand Isle Bay Side Breakwaters site%3Alacoast.gov
TE-0106	Raccoon Island Repair	STATE	9999	CPRA	BW	SP	Constructed	TE	1994	158.4276588	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0106	https://www.google.com/search?q=Raccoon Island Repair site%3Alacoast.gov
TE-0048	Raccoon Island Shoreline Protection/Marsh Creation	CWPPRA	11	NRCS	BW	SP	Constructed	TE	2001	634.5934198	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0048	https://www.google.com/search?q=Raccoon Island Shoreline Protection/Marsh Creation site%3Alacoast.gov
PO-0027	Chandeleur Islands Marsh Restoration	CWPPRA	9	NMFS	PL	VP	Constructed	PO	1999	23221.02548	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=PO-0027	https://www.google.com/search?q=Chandeleur Islands Marsh Restoration site%3Alacoast.gov
BA-0028	Vegetative Plantings of a Dredged Material Disposal Site on Grand Terre Island	CWPPRA	7	NMFS	PL	VP	Constructed	BA	1997	276.2484806	https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0028	https://www.google.com/search?q=Vegetative Plantings of a Dredged Material Disposal Site on Grand Terre Island site%3Alacoast.gov
