PROJ_ID	PROJ_NAME	PROGRAM	PPL	SPONSOR	PROJ_TYPE	STATUS	BASIN	YEAR	ACRES	URL	GOOGLE
TV-0011	Freshwater Bayou Bank Protection	STATE	9999	CPRA	SP	Constructed	TV	1994	7486.92467683	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0011")	=HYPERLINK("https://www.google.com/search?q=Freshwater Bayou Bank Protection site%3Alacoast.gov")
TV-0002-B	Yellow Bayou	STATE	9999	CPRA	SP	Constructed	TV	1991	4320.74323502	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0002-B")	=HYPERLINK("https://www.google.com/search?q=Yellow Bayou site%3Alacoast.gov")
ME-0001	Pecan Island Freshwater Introduction	STATE	9999	CPRA	FD	Constructed	ME	1992	38692.4763882	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=ME-0001")	=HYPERLINK("https://www.google.com/search?q=Pecan Island Freshwater Introduction site%3Alacoast.gov")
BA-0040	Riverine Sand Mining/Scofield Island Restoration	BERM	9999	CPRA	BH	Constructed	BA	2004	806.404229145	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0040")	=HYPERLINK("https://www.google.com/search?q=Riverine Sand Mining/Scofield Island Restoration site%3Alacoast.gov")
BA-0037	Little Lake Shoreline Protection/ Dedicated Dredging Near Round Lake	CWPPRA	11	NMFS	MC	Constructed	BA	2001	1527.09840006	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0037")	=HYPERLINK("https://www.google.com/search?q=Little Lake Shoreline Protection/ Dedicated Dredging Near Round Lake site%3Alacoast.gov")
AT-0002	Atchafalaya Sediment Delivery	CWPPRA	2	NMFS	MC	Constructed	AT	1992	2181.55852648	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=AT-0002")	=HYPERLINK("https://www.google.com/search?q=Atchafalaya Sediment Delivery site%3Alacoast.gov")
TV-0003	Vermilion River Cutoff Bank Protection	CWPPRA	1	USACE	SP	Constructed	TV	1991	194.25206934	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0003")	=HYPERLINK("https://www.google.com/search?q=Vermilion River Cutoff Bank Protection site%3Alacoast.gov")
TV-0016	Cheniere Au Tigre Sediment Trapping Demonstration	CWPPRA	6	NRCS	SP	Constructed	TV	1996	60.3482036756	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0016")	=HYPERLINK("https://www.google.com/search?q=Cheniere Au Tigre Sediment Trapping Demonstration site%3Alacoast.gov")
TV-0004	Cote Blanche Hydrologic Restoration	CWPPRA	3	NRCS	HR	Constructed	TV	1993	30910.5195438	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0004")	=HYPERLINK("https://www.google.com/search?q=Cote Blanche Hydrologic Restoration site%3Alacoast.gov")
BA-0035	Pass Chaland to Grand Bayou Pass Barrier Shoreline Restoration	CWPPRA	11	NMFS	BH	Constructed	BA	2001	901.68196552	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=BA-0035")	=HYPERLINK("https://www.google.com/search?q=Pass Chaland to Grand Bayou Pass Barrier Shoreline Restoration site%3Alacoast.gov")
TE-0023	West Belle Pass Headland Restoration	CWPPRA	2	USACE	SP	Constructed	TE	1992	1340.75497202	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TE-0023")	=HYPERLINK("https://www.google.com/search?q=West Belle Pass Headland Restoration site%3Alacoast.gov")
ME-0016	Freshwater Introduction South of Highway 82	CWPPRA	9	USFWS	HR	Constructed	ME	1999	24887.9913804	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=ME-0016")	=HYPERLINK("https://www.google.com/search?q=Freshwater Introduction South of Highway 82 site%3Alacoast.gov")
TV-0017	Lake Portage Land Bridge	CWPPRA	8	NRCS	SP	Constructed	TV	1998	1487.51652712	=HYPERLINK("https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=TV-0017")	=HYPERLINK("https://www.google.com/search?q=Lake Portage Land Bridge site%3Alacoast.gov")
